*******************************************************************************
Ephemeris / WWW_USER Sun Nov 25 13:46:10 2012 Pasadena, USA      / Horizons    
2456264.666666667  m  14 21 05.45 -11 39 28.9  30.9490 -54.5098 322.59  21.81
2456264.958333333 Am  14 21 12.75 -11 40 03.6 122.0733  14.2550 199.06  21.82
2456265.250000000 *   14 21 19.92 -11 40 38.1 230.7744  19.3777  75.52  21.83
2456265.541666667     14 21 27.12 -11 41 12.2 316.4157 -50.7055 311.99  21.84
2456265.833333333  m  14 21 34.40 -11 41 46.4  90.8980 -16.1298 188.45  21.85
2456266.125000000 *m  14 21 41.57 -11 42 20.7 184.7978  34.5020  64.91  21.87
2456266.416666667 C   14 21 48.69 -11 42 54.6 274.7342 -21.9767 301.38  21.88
2456266.708333333  m  14 21 55.90 -11 43 28.3  53.5704 -46.3549 177.84  21.89
2456267.000000000 Nm  14 22 03.08 -11 44 02.3 136.4022  23.6143  54.31  21.90
2456267.291666667 *   14 22 10.14 -11 44 36.0 244.0424   9.0909 290.77  21.91
2456267.583333333     14 22 17.27 -11 45 09.4 342.4129 -57.0072 167.24  21.92
2456267.875000000  m  14 22 24.44 -11 45 42.9 102.3430  -4.1212  43.70  21.93
2456268.166666667 *m  14 22 31.49 -11 46 16.4 204.0808  31.3940 280.17  21.94
2456268.458333333 A   14 22 38.52 -11 46 49.5 287.5786 -33.9294 156.63  21.96
2456268.750000000  m  14 22 45.64 -11 47 22.5  70.2631 -35.6794  33.10  21.97
2456269.041666667 *m  14 22 52.69 -11 47 55.8 153.1746  30.5769 269.56  21.98
2456269.333333333 *   14 22 59.65 -11 48 28.7 255.8910  -2.3620 146.03  21.99
2456269.625000000     14 23 06.69 -11 49 01.3  13.0921 -57.5572  22.49  22.00
2456269.916666667  m  14 23 13.74 -11 49 34.1 114.1449   7.3631 258.96  22.01
2456270.208333333 *m  14 23 20.67 -11 50 06.8 221.1766  24.7663 135.43  22.02
2456270.500000000     14 23 27.61 -11 50 39.1 303.4934 -44.9435  11.89  22.03
2456270.791666667     14 23 34.63 -11 51 11.4  83.5458 -23.8991 248.36  22.04
2456271.083333333 *m  14 23 41.55 -11 51 43.9 172.2168  34.1447 124.83  22.05
2456271.375000000 *   14 23 48.41 -11 52 15.9 267.2311 -14.4126   1.29  22.07
2456271.666666667     14 23 55.35 -11 52 47.8  40.2746 -52.0999 237.76  22.08
2456271.958333333 Am  14 24 02.28 -11 53 19.9 127.2226  17.7643 114.23  22.09
2456272.250000000 *m  14 24 09.08 -11 53 51.8 235.7619  15.6090 350.69  22.10
2456272.541666667     14 24 15.93 -11 54 23.2 325.0064 -53.7402 227.16  22.11
2456272.833333333     14 24 22.84 -11 54 54.9  95.2861 -11.8024 103.63  22.12
2456273.125000000 *m  14 24 29.63 -11 55 26.5 192.0524  33.6273 340.10  22.13
2456273.416666667 C   14 24 36.38 -11 55 57.7 279.0864 -26.5762 216.56  22.14
2456273.708333333     14 24 43.22 -11 56 28.9  60.4501 -42.7616  93.03  22.15
2456274.000000000 Nm  14 24 50.01 -11 57 00.2 142.3907  26.3458 329.50  22.16
2456274.291666667 *m  14 24 56.70 -11 57 31.2 248.4037   4.8252 205.97  22.17
2456274.583333333     14 25 03.45 -11 58 01.9 353.5607 -58.1562  82.44  22.18
2456274.875000000     14 25 10.22 -11 58 32.8 106.7457   0.0755 318.91  22.19
2456275.166666667 *m  14 25 16.88 -11 59 03.6 210.6164  29.1289 195.37  22.20
2456275.458333333 A   14 25 23.52 -11 59 34.0 292.8202 -38.2989  71.84  22.21
2456275.750000000     14 25 30.25 -12 00 04.3  75.6121 -31.5332 308.31  22.22
2456276.041666667 *   14 25 36.90 -12 00 34.9 160.0577  32.1602 184.78  22.23
2456276.333333333 *m  14 25 43.45 -12 01 05.0 259.9575  -6.9039  61.25  22.24
2456276.625000000     14 25 50.09 -12 01 34.9  24.0359 -56.3263 297.72  22.25
2456276.916666667     14 25 56.73 -12 02 05.0 118.9114  11.2318 174.19  22.26
2456277.208333333 *m  14 26 03.24 -12 02 34.9 226.7427  21.4633  50.66  22.27
2456277.500000000  m  14 26 09.77 -12 03 04.4 310.5034 -48.7072 287.13  22.28
2456277.791666667     14 26 16.37 -12 03 34.0  88.1408 -19.5481 163.60  22.29
2456278.083333333 *   14 26 22.86 -12 04 03.6 179.5874  34.2614  40.07  22.30
2456278.375000000 *m  14 26 29.29 -12 04 32.9 271.3600 -19.0550 276.54  22.31
2456278.666666667     14 26 35.82 -12 05 01.9  48.6645 -49.1152 153.01  22.32
2456278.958333333     14 26 42.30 -12 05 31.2 132.6710  21.0533  29.48  22.33
2456279.250000000 *m  14 26 48.66 -12 06 00.2 240.5153  11.6214 265.95  22.34
2456279.541666667  m  14 26 55.08 -12 06 28.8 334.7544 -56.1943 142.42  22.35
2456279.833333333     14 27 01.54 -12 06 57.6  99.6458  -7.4658  18.89  22.36
2456280.125000000 *   14 27 07.87 -12 07 26.3 199.1324  32.2172 255.37  22.37
2456280.416666667 Cm  14 27 14.17 -12 07 54.6 283.7262 -31.1385 131.84  22.38
2456280.708333333     14 27 20.57 -12 08 22.8  66.6745 -38.8662   8.31  22.39
2456281.000000000 N   14 27 26.89 -12 08 51.2 148.7421  28.7215 244.78  22.40
2456281.291666667 *m  14 27 33.11 -12 09 19.3 252.6519   0.4241 121.25  22.41
2456281.583333333  m  14 27 39.41 -12 09 47.0   5.1956 -58.4018 357.72  22.42
2456281.875000000     14 27 45.71 -12 10 15.0 111.2564   4.2109 234.20  22.43
2456282.166666667 *   14 27 51.89 -12 10 42.8 216.8296  26.4397 110.67  22.44
2456282.458333333 Am  14 27 58.07 -12 11 10.1 298.6459 -42.5191 347.14  22.44
2456282.750000000  m  14 28 04.32 -12 11 37.5  80.6202 -27.2378 223.61  22.45
2456283.041666667 *   14 28 10.48 -12 12 05.0 167.2203  33.2486 100.09  22.46
2456283.333333333 *m  14 28 16.56 -12 12 32.1 264.0394 -11.5179 336.56  22.47
2456283.625000000  m  14 28 22.73 -12 12 59.0  34.2056 -54.2960 213.03  22.48
2456283.916666667     14 28 28.88 -12 13 26.0 123.9121  14.9525  89.51  22.49
2456284.208333333 *   14 28 34.89 -12 13 52.9 232.0155  17.8662 325.98  22.50
2456284.500000000  m  14 28 40.95 -12 14 19.3 318.5254 -52.1022 202.45  22.51
2456284.791666667  m  14 28 47.06 -12 14 45.9  92.6090 -15.1385  78.93  22.52
2456285.083333333 *   14 28 53.05 -12 15 12.4 186.9737  33.8157 315.40  22.53
2456285.375000000 *m  14 28 58.99 -12 15 38.6 275.6579 -23.7096 191.88  22.53
2456285.666666667  m  14 29 05.02 -12 16 04.5  56.1728 -45.6647  68.35  22.54
2456285.958333333     14 29 11.00 -12 16 30.7 138.4606  24.0769 304.83  22.55
2456286.250000000 *   14 29 16.86 -12 16 56.6 245.0824   7.4432 181.30  22.56
2456286.541666667  m  14 29 22.78 -12 17 22.1 345.6163 -57.9141  57.77  22.57
2456286.833333333  m  14 29 28.73 -12 17 47.8 104.0334  -3.1412 294.25  22.58
2456287.125000000 *   14 29 34.55 -12 18 13.4 205.9680  30.2996 170.73  22.59
2456287.416666667 Cm  14 29 40.35 -12 18 38.6 288.7588 -35.6322  47.20  22.59
2456287.708333333  m  14 29 46.24 -12 19 03.7  72.3675 -34.7312 283.68  22.60
2456288.000000000 N   14 29 52.05 -12 19 29.0 155.4580  30.6866 160.15  22.61
2456288.291666667 *   14 29 57.75 -12 19 53.9 256.8378  -4.0927  36.63  22.62
2456288.583333333  m  14 30 03.53 -12 20 18.5  16.7738 -57.7058 273.10  22.63
2456288.875000000  m  14 30 09.32 -12 20 43.3 115.9282   8.2588 149.58  22.64
2456289.166666667 *   14 30 14.96 -12 21 07.9 222.7212  23.3691  26.06  22.64
2456289.458333333 Am  14 30 20.62 -12 21 32.1 305.2235 -46.5248 262.53  22.65
2456289.750000000  m  14 30 26.36 -12 21 56.3  85.3772 -22.8269 139.01  22.66
2456290.041666667 *   14 30 31.98 -12 22 20.7 174.5907  33.8005  15.48  22.67
2456290.333333333 *   14 30 37.53 -12 22 44.5 268.1947 -16.1870 251.96  22.68
2456290.625000000  m  14 30 43.17 -12 23 08.2  43.4136 -51.5808 128.44  22.68
2456290.916666667  m  14 30 48.77 -12 23 32.1 129.1985  18.4873   4.92  22.69
2456291.208333333 *   14 30 54.24 -12 23 55.7 237.0339  14.0104 241.39  22.70
2456291.500000000  m  14 30 59.76 -12 24 18.9 327.7231 -54.9982 117.87  22.71
2456291.791666667  m  14 31 05.32 -12 24 42.3  97.0151 -10.6937 354.35  22.71
2456292.083333333 *   14 31 10.76 -12 25 05.6 194.2738  32.8082 230.83  22.72
2456292.375000000 *   14 31 16.15 -12 25 28.4 280.2046 -28.3536 107.30  22.73
2456292.666666667  m  14 31 21.63 -12 25 51.2  62.9133 -41.8427 343.78  22.74
2456292.958333333  m  14 31 27.05 -12 26 14.1 144.6245  26.7824 220.26  22.75
2456293.250000000 *   14 31 32.35 -12 26 36.7 249.5119   3.0988  96.74  22.75
2456293.541666667     14 31 37.71 -12 26 58.9 357.3183 -58.7555 333.22  22.76
2456293.833333333  m  14 31 43.10 -12 27 21.3 108.5044   1.1479 209.70  22.77
2456294.125000000 *   14 31 48.34 -12 27 43.6 212.5133  27.9102  86.17  22.77
2456294.416666667 C   14 31 53.58 -12 28 05.5 294.3130 -40.0147 322.65  22.78
2456294.708333333  m  14 31 58.89 -12 28 27.3  77.6442 -30.4069 199.13  22.79
2456295.000000000 Nm  14 32 04.11 -12 28 49.2 162.5146  32.1841  75.61  22.80
2456295.291666667 *   14 32 09.24 -12 29 10.7 261.0139  -8.7069 312.09  22.80
2456295.583333333     14 32 14.45 -12 29 32.0  27.7743 -56.1083 188.57  22.81
2456295.875000000  m  14 32 19.64 -12 29 53.4 120.8151  12.1879  65.05  22.82
2456296.166666667 *   14 32 24.69 -12 30 14.7 228.3088  19.9583 301.53  22.82
2456296.458333333 N   14 32 29.77 -12 30 35.4 312.7468 -50.2263 178.01  22.83
2456296.750000000  m  14 32 34.91 -12 30 56.3  89.9628 -18.3297  54.49  22.84
2456297.041666667 *m  14 32 39.93 -12 31 17.2 182.0749  33.7854 290.97  22.85
2456297.333333333 *   14 32 44.89 -12 31 37.6 272.4882 -20.8921 167.45  22.85
2456297.625000000     14 32 49.93 -12 31 57.9  51.6429 -48.3030  43.93  22.86
2456297.916666667  m  14 32 54.93 -12 32 18.4 134.8196  21.7910 280.41  22.87
2456298.208333333 *   14 32 59.79 -12 32 38.5 241.8417   9.9275 156.89  22.87
2456298.500000000     14 33 04.71 -12 32 58.3 338.1665 -57.2363  33.38  22.88
2456298.791666667  m  14 33 09.66 -12 33 18.2 101.4198  -6.2363 269.86  22.89
2456299.083333333 *m  14 33 14.48 -12 33 38.1 201.3974  31.2544 146.34  22.89
2456299.375000000 *   14 33 19.27 -12 33 57.4 285.0980 -32.9578  22.82  22.90
2456299.666666667     14 33 24.14 -12 34 16.7  69.0188 -37.7257 259.30  22.90
2456299.958333333  m  14 33 28.93 -12 34 36.2 151.1810  29.1115 135.78  22.91
2456300.250000000 *m  14 33 33.61 -12 34 55.2 253.8537  -1.3896  12.27  22.92
2456300.541666667     14 33 38.36 -12 35 13.9   9.3510 -58.6235 248.75  22.92
2456300.833333333     14 33 43.11 -12 35 32.9 113.1141   5.3755 125.23  22.93
2456301.125000000 *m  14 33 47.73 -12 35 51.7 218.7481  25.0894   1.71  22.94
2456301.416666667 C   14 33 52.34 -12 36 10.0 300.5490 -44.2280 238.20  22.94
2456301.708333333     14 33 57.03 -12 36 28.3  82.6072 -25.9334 114.68  22.95
2456302.000000000 Nm  14 34 01.61 -12 36 46.7 169.8596  33.1610 351.16  22.95
2456302.291666667 *m  14 34 06.10 -12 37 04.7 265.2371 -13.4001 227.65  22.96
2456302.583333333     14 34 10.68 -12 37 22.4  37.8525 -53.7102 104.13  22.97
2456302.875000000     14 34 15.23 -12 37 40.3 125.9727  15.9616 340.61  22.97
2456303.166666667 *m  14 34 19.64 -12 37 58.0 233.6232  16.2455 217.10  22.98
2456303.458333333 N   14 34 24.08 -12 38 15.2 321.4164 -53.5029  93.58  22.98
2456303.750000000     14 34 28.57 -12 38 32.5  94.4486 -13.7713 330.07  22.99
2456304.041666667 *m  14 34 32.93 -12 38 49.9 189.5668  33.1879 206.55  22.99
2456304.333333333 *m  14 34 37.23 -12 39 06.7 276.9967 -25.6113  83.03  23.00
2456304.625000000     14 34 41.63 -12 39 23.4  58.9838 -44.5734 319.52  23.01
2456304.916666667     14 34 45.95 -12 39 40.3 140.8199  24.8113 196.00  23.01
2456305.208333333 *m  14 34 50.15 -12 39 56.9 246.4866   5.6448  72.49  23.02
2456305.500000000     14 34 54.41 -12 40 13.0 349.7283 -58.6463 308.97  23.02
2456305.791666667     14 34 58.70 -12 40 29.3 105.8821  -1.7900 185.46  23.03
2456306.083333333 *m  14 35 02.83 -12 40 45.6 208.2758  29.1815  61.94  23.03
2456306.375000000 *m  14 35 06.95 -12 41 01.3 290.4593 -37.4839 298.43  23.04
2456306.666666667     14 35 11.15 -12 41 16.9  74.6198 -33.3742 174.91  23.04
2456306.958333333     14 35 15.25 -12 41 32.8 158.1276  31.0018  51.40  23.05
2456307.250000000 *m  14 35 19.24 -12 41 48.1 258.1609  -6.0021 287.89  23.05
2456307.541666667  m  14 35 23.31 -12 42 03.2  21.1006 -57.5049 164.37  23.06
2456307.833333333     14 35 27.38 -12 42 18.5 117.9201   9.5114  40.86  23.06
2456308.125000000 *m  14 35 31.29 -12 42 33.6 224.6748  21.8788 277.35  23.07
2456308.416666667 *m  14 35 35.22 -12 42 48.1 307.6604 -48.1918 153.83  23.07
2456308.708333333     14 35 39.21 -12 43 02.8  87.3478 -21.3438  30.32  23.08
2456309.000000000 N   14 35 43.08 -12 43 17.5 177.4125  33.5723 266.81  23.08
2456309.291666667 *m  14 35 46.87 -12 43 31.7 269.5711 -18.1533 143.29  23.09
2456309.583333333  m  14 35 50.75 -12 43 45.7  46.8828 -50.6401  19.78  23.09
2456309.875000000     14 35 54.59 -12 43 59.9 131.4569  19.5359 256.27  23.10
2456310.166666667 *m  14 35 58.28 -12 44 13.8 238.7038  12.2650 132.76  23.10
2456310.458333333 Nm  14 36 02.02 -12 44 27.3 331.3861 -56.1990   9.24  23.11
2456310.750000000     14 36 05.80 -12 44 40.9  98.9015  -9.1761 245.73  23.11
2456311.041666667 *   14 36 09.44 -12 44 54.5 196.9618  32.0090 122.22  23.11
2456311.333333333 *m  14 36 13.03 -12 45 07.5 281.8127 -30.3173 358.71  23.12
2456311.625000000  m  14 36 16.72 -12 45 20.5  65.5730 -40.4842 235.20  23.12
2456311.916666667     14 36 20.32 -12 45 33.6 147.2332  27.4880 111.68  23.13
2456312.208333333 *m  14 36 23.80 -12 45 46.4 251.0184   1.1871 348.17  23.13
2456312.500000000  m  14 36 27.34 -12 45 58.8   2.0035 -59.0829 224.66  23.14
2456312.791666667  m  14 36 30.90 -12 46 11.3 110.4610   2.6192 101.15  23.14
2456313.083333333 *   14 36 34.31 -12 46 23.8 214.8660  26.6255 337.64  23.14
2456313.375000000 *m  14 36 37.70 -12 46 35.7 296.4407 -41.8791 214.13  23.15
2456313.666666667  m  14 36 41.18 -12 46 47.6  79.8347 -28.8362  90.62  23.15
2456313.958333333     14 36 44.54 -12 46 59.7 165.4326  32.3904 327.11  23.16
2456314.250000000 *m  14 36 47.81 -12 47 11.2 262.4897 -10.7187 203.60  23.16
2456314.541666667  m  14 36 51.16 -12 47 22.5  32.0556 -55.4707  80.09  23.16
2456314.833333333  m  14 36 54.48 -12 47 34.0 122.9817  13.5194 316.58  23.17
2456315.125000000 *   14 36 57.66 -12 47 45.3 230.3125  18.3189 193.07  23.17
2456315.416666667 *m  14 37 00.86 -12 47 56.1 315.8646 -51.7950  69.56  23.17
2456315.708333333  m  14 37 04.12 -12 48 07.0  91.9466 -16.6671 306.05  23.18
2456316.000000000 N   14 37 07.24 -12 48 17.9 185.0689  33.3862 182.54  23.18
2456316.291666667 *   14 37 10.30 -12 48 28.3 274.0893 -22.9442  59.03  23.18
$$EOE
*******************************************************************************
Column meaning:
 
TIME

  Prior to 1962, times are UT1. Dates thereafter are UTC. Any 'b' symbol in
the 1st-column denotes a B.C. date. First-column blank (" ") denotes an A.D.
date. Calendar dates prior to 1582-Oct-15 are in the Julian calendar system.
Later calendar dates are in the Gregorian system.

  Time tags refer to the same instant throughout the universe, regardless of
where the observer is located.

  The uniform Coordinate Time scale is used internally. It is equivalent to
the current IAU definition of "TDB". Conversion between CT and the selected
non-uniform UT output scale has not been determined for UTC times after the
next July or January 1st.  The last known leap-second is used over any future
interval.

  NOTE: "n.a." in output means quantity "not available" at the print-time.
 
SOLAR PRESENCE (OBSERVING SITE)
  Time tag is followed by a blank, then a solar-presence symbol:

        '*'  Daylight (refracted solar upper-limb on or above apparent horizon)
        'C'  Civil twilight/dawn
        'N'  Nautical twilight/dawn
        'A'  Astronomical twilight/dawn
        ' '  Night OR geocentric ephemeris

LUNAR PRESENCE (OBSERVING SITE)
  The solar-presence symbol is immediately followed by a lunar-presence symbol:

        'm'  Refracted upper-limb of Moon on or above apparent horizon
        ' '  Refracted upper-limb of Moon below apparent horizon OR geocentric
             ephemeris
 
 R.A._(a-apparent)__DEC. =
   Airless apparent right ascension and declination of the target center with
respect to the Earth true-equator and the meridian containing the Earth true
equinox of date.  Corrected for light-time, gravitational deflection of light,
stellar aberration, precession & nutation.
   Units: HMS (HH MM SS.ff) and DMS (DD MM SS.f)
 
 Azi_(a-appr)_Elev =
   Airless apparent azimuth and elevation of target center. Corrected for
light-time, the gravitational deflection of light, stellar aberration,
precession and nutation. Azimuth measured North(0) -> East(90) -> South(180) ->
West(270) -> North (360). Elevation is with respect to plane perpendicular
to local zenith direction.  TOPOCENTRIC ONLY. Units: DEGREES
 
 Ob-lon Ob-lat =
   Apparent planetographic ("geodetic") longitude and latitude (IAU2006 model)
of the center of the target disk seen by the observer at print-time. Light
travel-time from target to observer is taken into account.  Latitude is the
angle between the equatorial plane and the line perpendicular to the reference
ellipsoid of the body (e.g., reflects body oblateness). Positive longitude
is to the west.  For the gas giants Jupiter, Saturn, Uranus and Neptune,
IAU2006 longitude is based on the "System III" prime meridian rotation angle
of the magnetic field. By contrast, pole direction (thus latitude) is relative
to the body dynamical equator.  There can be an offset between the magnetic
pole and the dynamical pole of rotation.  Units: DEGREES


 Computations by ...
     Solar System Dynamics Group, Horizons On-Line Ephemeris System
     4800 Oak Grove Drive, Jet Propulsion Laboratory
     Pasadena, CA  91109   USA
     Information: http://ssd.jpl.nasa.gov/
     Connect    : telnet://ssd.jpl.nasa.gov:6775  (via browser)
                  telnet ssd.jpl.nasa.gov 6775    (via command-line)
     Author     : Jon.Giorgini@jpl.nasa.gov

*******************************************************************************

